Rank,Team,Subdivision,Record,Score,Week 1 Score,Week 2 Opponent Rank Points,Week 2 Win Points,Week 2 Margin Points,Week 2 Game Points,Opponent Strength
34,Virginia,FBS,2-0,336.5,169.5,101.0,10.0,56.0,167.0,234.5
35,Michigan State,FBS,2-0,335.5,153.5,144.0,10.0,28.0,182.0,277.5
36,Troy,FBS,2-0,333.5,146.5,160.0,10.0,17.0,187.0,293.5
37,Houston,FBS,2-0,331.5,156.5,94.0,10.0,71.0,175.0,227.5
38,Colorado,FBS,2-0,312.5,144.5,127.0,10.0,31.0,168.0,260.5
39,Idaho State,FCS,3-0,307.25,241.25,40.0,5.0,21.0,66.0,347.0
40,Kansas State,FBS,2-0,298.5,211.5,50.0,10.0,27.0,87.0,183.5
41,South Carolina,FBS,2-0,294.0,200.5,47.5,10.0,36.0,93.5,181.0
42,Nebraska,FBS,2-0,293.0,171.5,62.5,10.0,49.0,121.5,196.0
43,Tennessee,FBS,2-0,291.5,190.5,70.0,10.0,21.0,101.0,203.5
44,North Carolina,FBS,2-0,290.5,148.5,100.0,10.0,32.0,142.0,233.5
45,Tarleton State,FCS,3-0,289.25,231.75,51.0,5.0,1.5,57.5,369.0
46,Georgia,FBS,2-0,284.0,203.5,20.5,10.0,50.0,80.5,154.0
47,Massachusetts,FBS,2-0,283.5,159.5,87.0,10.0,27.0,124.0,220.5
48,Lehigh,FCS,3-0,274.75,171.5,86.25,5.0,12.0,103.25,439.5
49,New Mexico,FBS,2-0,268.0,174.5,20.5,10.0,63.0,93.5,154.0
50,Ole Miss,FBS,2-0,256.5,146.5,68.0,10.0,32.0,110.0,201.5
51,South Dakota,FCS,3-0,254.25,170.5,69.75,5.0,9.0,83.75,406.5
52,Texas Tech,FBS,2-0,240.5,166.5,53.0,10.0,11.0,74.0,186.5
53,Tulsa,FBS,2-0,240.0,157.5,66.5,10.0,6.0,82.5,200.0
54,App State,FBS,2-0,226.5,195.5,18.0,10.0,3.0,31.0,151.5
55,Washington,FBS,2-0,223.5,157.5,54.0,10.0,2.0,66.0,187.5
56,Tennessee Tech,FCS,3-0,210.75,163.0,29.75,5.0,13.0,47.75,326.5
57,North Dakota,FCS,3-0,208.5,172.0,19.5,5.0,12.0,36.5,306.0
58,Stephen F. Austin,FCS,3-0,205.75,167.5,23.75,5.0,9.5,38.25,314.5
59,UTSA,FBS,2-0,192.5,172.5,5.0,10.0,5.0,20.0,138.5
60,Montana,FCS,3-0,181.5,164.5,1.5,5.0,10.5,17.0,270.0
61,San José State,FBS,2-1,178.0,0.0,158.0,10.0,10.0,178.0,425.0
62,South Carolina State,FCS,3-0,177.25,134.25,0.0,10.0,33.0,43.0,133.5
63,Ohio State,FBS,1-1,176.0,196.5,-19.5,0.0,-1.0,-20.5,381.0
64,UCF,FBS,1-1,174.0,210.5,-31.5,0.0,-5.0,-36.5,369.0
65,Air Force,FBS,1-1,170.5,177.5,-1.0,0.0,-6.0,-7.0,399.5
66,Illinois State,FCS,3-0,164.25,135.25,15.0,10.0,4.0,29.0,148.5
67,Northwestern,FBS,1-0,159.5,159.5,0.0,0.0,0.0,0.0,133.5
68,West Florida,FCS,2-0,159.0,159.0,0.0,0.0,0.0,0.0,267.0
69,UConn,FBS,1-1,156.5,192.5,-12.0,0.0,-24.0,-36.0,388.5
70,Arizona State,FBS,1-1,155.5,206.5,-23.0,0.0,-28.0,-51.0,377.5
71,Louisiana,FBS,1-1,153.5,174.5,-2.0,0.0,-19.0,-21.0,398.5
72,Louisiana Tech,FBS,1-1,152.5,217.5,-34.0,0.0,-31.0,-65.0,366.5
73,Boise State,FBS,1-1,151.5,-140.5,264.0,10.0,18.0,292.0,397.5
74,Kennesaw State,FBS,1-1,151.5,190.5,-25.0,0.0,-14.0,-39.0,375.5
75,Minnesota,FBS,1-1,145.5,195.5,-25.0,0.0,-25.0,-50.0,375.5
76,Arizona,FBS,1-1,145.0,171.5,-15.5,0.0,-11.0,-26.5,385.0
77,Kansas,FBS,1-1,135.0,188.5,-36.5,0.0,-17.0,-53.5,364.0
